bin,So_quan_sat,P_up_TB,Ty_le_tang_thuc_te,Sai_lech
"(-0.001, 0.3]",374,0.10673855546423618,0.19518716577540107,-0.0884486103111649
"(0.3, 0.4]",151,0.351572799366831,0.4768211920529801,-0.12524839268614912
"(0.4, 0.45]",99,0.42222061933893146,0.5959595959595959,-0.17373897662066445
"(0.45, 0.5]",69,0.4718593255333278,0.5217391304347826,-0.04987980490145477
"(0.5, 0.55]",68,0.5254889814292684,0.5588235294117647,-0.033334547982496354
"(0.55, 0.6]",75,0.5734661070505778,0.6666666666666666,-0.09320055961608886
"(0.6, 0.7]",84,0.6443795717897869,0.6309523809523809,0.013427190837405956
"(0.7, 1.0]",1221,0.9447803563216395,0.9844389844389845,-0.039658628117344996
