,Total_Return,CAGR,Ann_Volatility,Sharpe,Sortino,Max_Drawdown,Calmar,Win_Rate,N_Trades
Buy_and_Hold,1.9442224831758077,0.20565701757332988,0.1678453532237567,1.1986428781645337,1.634525658431993,-0.2087252991332572,0.9852999057964295,0.5550964187327824,1.0
TA_MA_Crossover,0.6197827376462788,0.08711890497944053,0.13709567693981775,0.678144208609395,0.6912775933892773,-0.24433513427610964,0.3565549638923081,0.5386289445048966,63.0
TA_MACD,0.6714339026576719,0.09304522332509158,0.1240470593136486,0.7795136037282798,0.7454561783088651,-0.11931024720325911,0.7798594463271712,0.5242718446601942,114.0
TA_RSI,0.2708027648219349,0.042379607652359486,0.07900800887065192,0.5648423663449228,0.46740142168242194,-0.12680909147988495,0.33420007317915323,0.5331905781584583,26.0
TA_Combined,0.2679604035801926,0.04197543539094539,0.10962852187562486,0.4301263492657145,0.341819202489804,-0.2185913058836313,0.19202701233365305,0.5132013201320133,104.0
AI_XGBoost,0.4254296391982011,0.06331704361477342,0.11875719429285762,0.5764786424135476,0.6131466436629618,-0.18034291795657909,0.35109248720273106,0.40733399405351833,529.0
AI_XGBoost_LS,-0.3101618201156804,-0.06228322617077897,0.16824792860012547,-0.29802712000708786,-0.42351485211640433,-0.42238042658536945,-0.14745765251077655,0.4927735719201652,530.0
