Date,Open,High,Low,Close,Volume,Open_Interest
2015-01-02 00:00:00-05:00,1184.0,1194.5,1169.5,1186.0,138.0,0.0
2015-01-05 00:00:00-05:00,1180.300049,1206.900024,1180.099976,1203.900024,470.0,0.0
2015-01-06 00:00:00-05:00,1203.5,1220.0,1203.5,1219.300049,97.0,0.0
2015-01-07 00:00:00-05:00,1219.199951,1219.199951,1210.599976,1210.599976,29.0,0.0
2015-01-08 00:00:00-05:00,1207.0,1215.699951,1206.300049,1208.400024,92.0,0.0
2015-01-09 00:00:00-05:00,1211.099976,1220.199951,1210.300049,1216.0,43.0,0.0
2015-01-12 00:00:00-05:00,1224.199951,1234.400024,1219.099976,1232.699951,100.0,0.0
2015-01-13 00:00:00-05:00,1239.199951,1239.300049,1230.300049,1234.300049,20.0,0.0
2015-01-14 00:00:00-05:00,1229.599976,1243.800049,1225.599976,1234.400024,21.0,0.0
2015-01-15 00:00:00-05:00,1231.5,1265.0,1227.300049,1264.699951,130.0,0.0
2015-01-16 00:00:00-05:00,1256.099976,1279.699951,1256.099976,1276.900024,44.0,0.0
2015-01-20 00:00:00-05:00,1278.900024,1297.300049,1273.800049,1294.199951,157.0,0.0
2015-01-21 00:00:00-05:00,1295.199951,1303.5,1286.699951,1293.699951,78.0,0.0
2015-01-22 00:00:00-05:00,1293.199951,1302.099976,1283.5,1300.699951,131.0,0.0
2015-01-23 00:00:00-05:00,1299.800049,1299.800049,1292.599976,1292.599976,23.0,0.0
2015-01-26 00:00:00-05:00,1289.5,1290.599976,1279.400024,1279.400024,26.0,0.0
2015-01-27 00:00:00-05:00,1277.199951,1291.699951,1277.199951,1291.699951,20.0,0.0
2015-01-28 00:00:00-05:00,1285.900024,1286.800049,1285.900024,1285.900024,51408.4,0.0
2015-01-29 00:00:00-05:00,1283.300049,1285.400024,1251.0,1254.599976,52663.6,0.0
2015-01-30 00:00:00-05:00,1258.0,1284.300049,1257.0,1278.5,8626.0,0.0
2015-02-02 00:00:00-05:00,1284.099976,1284.099976,1266.0,1276.199951,1654.0,0.0
2015-02-03 00:00:00-05:00,1273.5,1284.699951,1255.300049,1259.699951,2380.0,0.0
2015-02-04 00:00:00-05:00,1262.0,1271.599976,1256.800049,1263.800049,668.0,0.0
2015-02-05 00:00:00-05:00,1271.800049,1272.599976,1257.800049,1262.0,133.0,0.0
2015-02-06 00:00:00-05:00,1265.0,1267.599976,1228.0,1233.900024,432.0,0.0
2015-02-09 00:00:00-05:00,1237.5,1242.300049,1235.400024,1240.800049,319.0,0.0
2015-02-10 00:00:00-05:00,1237.5,1245.0,1231.199951,1231.599976,231.0,0.0
2015-02-11 00:00:00-05:00,1233.300049,1237.400024,1219.0,1219.0,102.0,0.0
2015-02-12 00:00:00-05:00,1217.900024,1229.800049,1217.900024,1220.099976,99.0,0.0
2015-02-13 00:00:00-05:00,1222.199951,1232.800049,1222.199951,1226.5,65.0,0.0
2015-02-17 00:00:00-05:00,1227.699951,1234.0,1203.0,1208.099976,204.0,0.0
2015-02-18 00:00:00-05:00,1207.099976,1210.199951,1197.800049,1199.699951,147.0,0.0
2015-02-19 00:00:00-05:00,1216.5,1220.0,1205.0,1207.099976,65.0,0.0
