Date,Open,High,Low,Close,Volume,Open_Interest
2015-01-02 00:00:00-05:00,1184.0,1194.5,1169.5,1186.0,138.0,0.0
2015-01-03 00:00:00-05:00,1182.766683,1198.6333413333334,1173.0333253333333,1191.9666746666667,248.66666666666669,0.0
2015-01-04 00:00:00-05:00,1181.533366,1202.7666826666666,1176.5666506666666,1197.9333493333334,359.33333333333337,0.0
2015-01-05 00:00:00-05:00,1180.300049,1206.900024,1180.099976,1203.900024,470.0,0.0
2015-01-06 00:00:00-05:00,1203.5,1220.0,1203.5,1219.300049,97.0,0.0
2015-01-07 00:00:00-05:00,1219.199951,1219.199951,1210.599976,1210.599976,29.0,0.0
2015-01-08 00:00:00-05:00,1207.0,1215.699951,1206.300049,1208.400024,92.0,0.0
2015-01-09 00:00:00-05:00,1211.099976,1220.199951,1210.300049,1216.0,43.0,0.0
2015-01-10 00:00:00-05:00,1215.4666343333333,1224.9333086666668,1213.233358,1221.5666503333334,62.0,0.0
2015-01-11 00:00:00-05:00,1219.8332926666667,1229.6666663333333,1216.166667,1227.1333006666666,81.0,0.0
2015-01-12 00:00:00-05:00,1224.199951,1234.400024,1219.099976,1232.699951,100.0,0.0
2015-01-13 00:00:00-05:00,1239.199951,1239.300049,1230.300049,1234.300049,20.0,0.0
2015-01-14 00:00:00-05:00,1229.599976,1243.800049,1225.599976,1234.400024,21.0,0.0
2015-01-15 00:00:00-05:00,1231.5,1265.0,1227.300049,1264.699951,130.0,0.0
2015-01-16 00:00:00-05:00,1256.099976,1279.699951,1256.099976,1276.900024,44.0,0.0
2015-01-17 00:00:00-05:00,1261.799988,1284.0999755,1260.52499425,1281.22500575,72.25,0.0
2015-01-18 00:00:00-05:00,1267.5,1288.5,1264.9500125,1285.5499875,100.5,0.0
2015-01-19 00:00:00-05:00,1273.200012,1292.9000245,1269.37503075,1289.87496925,128.75,0.0
2015-01-20 00:00:00-05:00,1278.900024,1297.300049,1273.800049,1294.199951,157.0,0.0
2015-01-21 00:00:00-05:00,1295.199951,1303.5,1286.699951,1293.699951,78.0,0.0
2015-01-22 00:00:00-05:00,1293.199951,1302.099976,1283.5,1300.699951,131.0,0.0
2015-01-23 00:00:00-05:00,1299.800049,1299.800049,1292.599976,1292.599976,23.0,0.0
2015-01-24 00:00:00-05:00,1296.3666993333334,1296.733358,1288.199992,1288.199992,24.0,0.0
2015-01-25 00:00:00-05:00,1292.9333496666666,1293.666667,1283.800008,1283.800008,25.0,0.0
2015-01-26 00:00:00-05:00,1289.5,1290.599976,1279.400024,1279.400024,26.0,0.0
2015-01-27 00:00:00-05:00,1277.199951,1291.699951,1277.199951,1291.699951,20.0,0.0
2015-01-28 00:00:00-05:00,1285.900024,1286.800049,1285.900024,1285.900024,51408.4,0.0
2015-01-29 00:00:00-05:00,1283.300049,1285.400024,1251.0,1254.599976,52663.6,0.0
2015-01-30 00:00:00-05:00,1258.0,1284.300049,1257.0,1278.5,8626.0,0.0
2015-01-31 00:00:00-05:00,1266.699992,1284.233358,1260.0,1277.733317,6302.0,0.0
2015-02-01 00:00:00-05:00,1275.399984,1284.166667,1263.0,1276.966634,3978.0,0.0
2015-02-02 00:00:00-05:00,1284.099976,1284.099976,1266.0,1276.199951,1654.0,0.0
2015-02-03 00:00:00-05:00,1273.5,1284.699951,1255.300049,1259.699951,2380.0,0.0
2015-02-04 00:00:00-05:00,1262.0,1271.599976,1256.800049,1263.800049,668.0,0.0
2015-02-05 00:00:00-05:00,1271.800049,1272.599976,1257.800049,1262.0,133.0,0.0
2015-02-06 00:00:00-05:00,1265.0,1267.599976,1228.0,1233.900024,432.0,0.0
2015-02-07 00:00:00-05:00,1255.8333333333333,1259.166667,1230.4666746666667,1236.2000323333334,394.3333333333333,0.0
2015-02-08 00:00:00-05:00,1246.6666666666667,1250.733358,1232.9333493333334,1238.5000406666666,356.6666666666667,0.0
2015-02-09 00:00:00-05:00,1237.5,1242.300049,1235.400024,1240.800049,319.0,0.0
2015-02-10 00:00:00-05:00,1237.5,1245.0,1231.199951,1231.599976,231.0,0.0
2015-02-11 00:00:00-05:00,1233.300049,1237.400024,1219.0,1219.0,102.0,0.0
2015-02-12 00:00:00-05:00,1217.900024,1229.800049,1217.900024,1220.099976,99.0,0.0
2015-02-13 00:00:00-05:00,1222.199951,1232.800049,1222.199951,1226.5,65.0,0.0
2015-02-14 00:00:00-05:00,1223.574951,1233.10003675,1217.39996325,1221.8999939999999,99.75,0.0
2015-02-15 00:00:00-05:00,1224.949951,1233.4000245,1212.5999755,1217.299988,134.5,0.0
2015-02-16 00:00:00-05:00,1226.324951,1233.7000122499999,1207.7999877500001,1212.699982,169.25,0.0
2015-02-17 00:00:00-05:00,1227.699951,1234.0,1203.0,1208.099976,204.0,0.0
2015-02-18 00:00:00-05:00,1207.099976,1210.199951,1197.800049,1199.699951,147.0,0.0
2015-02-19 00:00:00-05:00,1216.5,1220.0,1205.0,1207.099976,65.0,0.0
2015-02-20 00:00:00-05:00,1206.5,1213.099976,1199.099976,1204.400024,51.0,0.0
2015-02-21 00:00:00-05:00,1204.766683,1209.8333336666667,1196.599976,1203.0333656666667,123.33333333333333,0.0
2015-02-22 00:00:00-05:00,1203.033366,1206.5666913333332,1194.099976,1201.6667073333333,195.66666666666666,0.0
2015-02-23 00:00:00-05:00,1201.300049,1203.300049,1191.599976,1200.300049,268.0,0.0
2015-02-24 00:00:00-05:00,1203.400024,1203.5,1193.800049,1196.900024,151.0,0.0
2015-02-25 00:00:00-05:00,1204.300049,1204.599976,1201.0,1201.0,570.0,0.0
2015-02-26 00:00:00-05:00,1204.800049,1219.0,1204.800049,1209.599976,560.0,0.0
2015-02-27 00:00:00-05:00,1207.699951,1217.800049,1204.5,1212.599976,195.0,0.0
2015-02-28 00:00:00-05:00,1209.8999836666667,1219.4333496666666,1204.6333413333334,1210.9666343333333,171.33333333333334,0.0
2015-03-01 00:00:00-05:00,1212.1000163333333,1221.0666503333334,1204.7666826666666,1209.3332926666667,147.66666666666666,0.0
2015-03-02 00:00:00-05:00,1214.300049,1222.699951,1204.900024,1207.699951,124.0,0.0
2015-03-03 00:00:00-05:00,1201.5,1212.0,1195.0,1204.0,51.0,0.0
2015-03-04 00:00:00-05:00,1204.800049,1206.900024,1198.0,1200.599976,27.0,0.0
2015-03-05 00:00:00-05:00,1201.699951,1205.400024,1195.900024,1195.900024,29.0,0.0
2015-03-06 00:00:00-05:00,1195.0,1195.699951,1163.699951,1164.099976,168.0,0.0
