Cau_hinh,INITIAL_TRAIN,RETRAIN_EVERY,THRESHOLD,RANDOM_STATE,So_fold,n_OOS_day_du,full_Accuracy,full_AUC,full_F1,full_Precision,full_Recall,full_LogLoss,full_Brier,full_Baseline,full_Vuot_baseline,n_cua_so_chung,chung_Accuracy,chung_AUC,chung_F1,chung_Precision,chung_Recall,chung_LogLoss,chung_Brier,chung_Baseline,chung_Vuot_baseline,chung_Tong_LN,chung_CAGR,chung_Sharpe,chung_MaxDD,chung_Calmar,chung_So_lenh,chung_Turnover_nam,chung_Ty_le_co_vi_the,Nhom
A_INITIAL_TRAIN=1095,1095,365,0.5,42,8.0,2871.0,0.8446534308603274,0.9383275510809138,0.8823218997361477,0.9126637554585153,0.8539325842696629,0.2856902466427442,0.09470828664146129,0.6819923371647509,0.16266109369557646,1776,0.8417792792792793,0.9352016484025216,0.8838362959900785,0.936077057793345,0.8371182458888019,0.2931218351609673,0.09627954521261833,0.7190315315315315,0.12274774774774777,1.1882248480963291,0.17461359357488782,3.9445330482032843,-0.03881125132115837,4.4990457053286335,180,36.99324324324324,0.6430180180180181,A_INITIAL_TRAIN
A_INITIAL_TRAIN=1460,1460,365,0.5,42,7.0,2506.0,0.8431763766959298,0.9276816303207258,0.8925348646431501,0.9230769230769231,0.8639491794600318,0.28758349469857397,0.09488023456894333,0.7537909018355946,0.08938547486033521,1776,0.8417792792792793,0.9352016484025216,0.8838362959900785,0.936077057793345,0.8371182458888019,0.2931218351609673,0.09627954521261833,0.7190315315315315,0.12274774774774777,1.1882248480963291,0.17461359357488782,3.9445330482032843,-0.03881125132115837,4.4990457053286335,180,36.99324324324324,0.6430180180180181,A_INITIAL_TRAIN
A_INITIAL_TRAIN=1825,1825,365,0.5,42,6.0,2141.0,0.8388603456328818,0.9298528043255286,0.8861761794787198,0.9274861878453039,0.848389134554643,0.29058043651719373,0.09623594238252033,0.7393741242410089,0.09948622139187291,1776,0.8417792792792793,0.9352016484025216,0.8838362959900785,0.936077057793345,0.8371182458888019,0.2931218351609673,0.09627954521261833,0.7190315315315315,0.12274774774774777,1.1882248480963291,0.17461359357488782,3.9445330482032843,-0.03881125132115837,4.4990457053286335,180,36.99324324324324,0.6430180180180181,A_INITIAL_TRAIN
A_INITIAL_TRAIN=2190,2190,365,0.5,42,5.0,1776.0,0.8417792792792793,0.9352016484025216,0.8838362959900785,0.936077057793345,0.8371182458888019,0.2931218351609673,0.09627954521261833,0.7190315315315315,0.12274774774774777,1776,0.8417792792792793,0.9352016484025216,0.8838362959900785,0.936077057793345,0.8371182458888019,0.2931218351609673,0.09627954521261833,0.7190315315315315,0.12274774774774777,1.1882248480963291,0.17461359357488782,3.9445330482032843,-0.03881125132115837,4.4990457053286335,180,36.99324324324324,0.6430180180180181,A_INITIAL_TRAIN
B_RETRAIN_EVERY=90,1825,90,0.5,42,24.0,2141.0,0.8430639887902849,0.9310211317832617,0.8888888888888888,0.9326856349757113,0.8490208464939988,0.27761982722246703,0.09501250647404043,0.7393741242410089,0.10368986454927598,1776,0.8468468468468469,0.9366689526272591,0.8872305140961857,0.9427312775330396,0.8379013312451057,0.2766093066144212,0.09440308598166627,0.7190315315315315,0.12781531531531531,1.3802615675834793,0.19509700679415687,4.72186244164063,-0.02652992362151363,7.353847284955956,164,33.70495495495495,0.6390765765765766,B_RETRAIN_EVERY
B_RETRAIN_EVERY=180,1825,180,0.5,42,12.0,2141.0,0.8397944885567492,0.9291610910729367,0.8866864882722167,0.9293628808864266,0.8477574226152874,0.2838398416575903,0.09602183732057536,0.7393741242410089,0.10042036431574031,1776,0.8417792792792793,0.9349034796295803,0.8834508502695977,0.9391534391534392,0.8339859044635866,0.28318157158969604,0.09538605867257173,0.7190315315315315,0.12274774774774777,1.258493820760267,0.18226861407900397,4.141790483390554,-0.03488139398625001,5.2253821665169955,164,33.70495495495495,0.6385135135135135,B_RETRAIN_EVERY
B_RETRAIN_EVERY=365,1825,365,0.5,42,6.0,2141.0,0.8388603456328818,0.9298528043255286,0.8861761794787198,0.9274861878453039,0.848389134554643,0.29058043651719373,0.09623594238252033,0.7393741242410089,0.09948622139187291,1776,0.8417792792792793,0.9352016484025216,0.8838362959900785,0.936077057793345,0.8371182458888019,0.2931218351609673,0.09627954521261833,0.7190315315315315,0.12274774774774777,1.1882248480963291,0.17461359357488782,3.9445330482032843,-0.03881125132115837,4.4990457053286335,180,36.99324324324324,0.6430180180180181,B_RETRAIN_EVERY
B_RETRAIN_EVERY=730,1825,730,0.5,42,3.0,2141.0,0.8402615600186829,0.9308167876881834,0.887203166226913,0.9282263630089717,0.8496525584333544,0.2950814716563851,0.09686999549199729,0.7393741242410089,0.100887435777674,1776,0.8434684684684685,0.9362303306691692,0.8851239669421488,0.937007874015748,0.8386844166014096,0.29854791412099485,0.09704390766047317,0.7190315315315315,0.12443693693693691,1.2360785995978487,0.17984753349019478,3.843418635125158,-0.06115406053171624,2.940892753914856,170,34.93806306306306,0.643581081081081,B_RETRAIN_EVERY
B_RETRAIN_EVERY=khong tai HL,1825,1000000000,0.5,42,1.0,2141.0,0.8355908453993461,0.9258146027347014,0.8859364873622813,0.9095143047238856,0.8635502210991788,0.29188327639257927,0.09699868049724139,0.7393741242410089,0.09621672115833724,1776,0.8378378378378378,0.930633388939194,0.883589329021827,0.9131161236424394,0.855912294440094,0.2946924321053369,0.09719903975294372,0.7190315315315315,0.11880630630630629,1.1517559026285515,0.17056344710376892,3.2447794036793103,-0.06115406053171624,2.7890780370227395,163,33.49943693693693,0.6739864864864865,B_RETRAIN_EVERY
C_THRESHOLD=0.45,1825,365,0.45,42,,,,,,,,,,,,1776,0.8429054054054054,0.9352016484025216,0.8874546187979023,0.9151414309484193,0.8613938919342208,0.2931218351609673,0.09627954521261833,0.7190315315315315,0.12387387387387383,1.1331251008972543,0.16847327357759734,3.2557742740233775,-0.05268190476137391,3.1979343636246242,202,41.51463963963963,0.6768018018018018,C_THRESHOLD
