,n_features,Accuracy,F1,AUC,AUC_gia_tang
M1_XuHuong,4.0,0.6240074731433909,0.6942650968477022,0.798879560382831,
M2_+DongLuong,7.0,0.8108360579168613,0.8648648648648649,0.9116865576680546,0.11280699728522359
M3_+BienDong,11.0,0.8061653432975245,0.8596550557997971,0.9111980564102913,-0.0004885012577633407
M4_Full(+Tre),14.0,0.8388603456328818,0.8861761794787198,0.9298528043255286,0.018654747915237357
