cbin,So_quan_sat,Confidence_TB,Accuracy_thuc_te,Sai_lech
"(0.499, 0.55]",137,0.5268245056597856,0.5182481751824818,0.008576330477303773
"(0.55, 0.6]",174,0.5759202110013742,0.5172413793103449,0.05867883169102939
"(0.6, 0.7]",235,0.6469803886210664,0.5617021276595745,0.08527826096149194
"(0.7, 0.8]",168,0.7474795851324286,0.5892857142857143,0.15819387084671432
"(0.8, 1.0]",1427,0.9545059740874908,0.9838822704975473,-0.029376296410056457
